definition.cve,asset.name,severity,definition.cvss3.base_score,definition.description
CVE-2025-10230; CVE-2025-9640,gasdmftlic03,Medium,4.3,"The remote Ubuntu 22.04 LTS / 24.04 LTS / 25.04 / 25.10 host has packages installed that are affected by multiple vulnerabilities as referenced in the USN-7826-1 advisory.

    Andrew Walker discovered that Samba incorrectly initialized memory in the vfs_streams_xattr module. An     authenticated attacker could possibly use this issue to obtain sensitive information. (CVE-2025-9640)

    Igor Morgenstern discovered that Samba incorrectly handled names passed to the WINS hook program. An     attacker could possibly use this issue to execute arbitrary code. (CVE-2025-10230)

Tenable has extracted the preceding description block directly from the Ubuntu security advisory.

Note that Nessus has not tested for these issues but has instead relied only on the application's self-reported version number."
CVE-2025-49144,vda,High,7.3,"The version of Notepad++ installed on the remote host is prior to 8.8.2. It is; therefore; affected by a privilege escalation vulnerability:

  - Notepad++ is a free and open-source source code editor. In versions 8.8.1 and prior; a privilege escalation     vulnerability exists in the Notepad++ v8.8.1 installer that allows unprivileged users to gain SYSTEM-level     privileges through insecure executable search paths. An attacker could use social engineering or clickjacking to     trick users into downloading both the legitimate installer and a malicious executable to the same directory     (typically Downloads folder - which is known as Vulnerable directory). Upon running the installer; the attack     executes automatically with SYSTEM privileges. This issue has been fixed and will be released in version 8.8.2.
    (CVE-2025-49144)   Note that Nessus has not tested for this issue but has instead relied only on the application's self-reported version number."
CVE-2025-41244; CVE-2025-41246,crjiaddc,High,7.8,"The version of VMware Tools installed on the remote host is 11.x or 12.x prior to 12.5.4; or 13.x prior to 13.0.5.
It is; therefore; affected by multiple vulnerabilities as disclosed in the VMSA-2025-0015 advisory:

  - VMware Aria Operations and VMware Tools contain a local privilege escalation vulnerability. A malicious   local actor with non-administrative privileges having access to a VM with VMware Tools installed and managed   by Aria Operations with SDMP enabled may exploit this vulnerability to escalate privileges to root on the   same VM. (CVE-2025-41244)

  - VMware Tools for Windows contains an improper authorisation vulnerability due to the way it handles user   access controls. A malicious actor with non-administrative privileges on a guest VM; who is already   authenticated through vCenter or ESX may exploit this issue to access other guest VMs. Successful   exploitation requires knowledge of credentials of the targeted VMs and vCenter or ESX. (CVE-2025-41246)

Note that Nessus has not tested for this issue but has instead relied only on the application's self-reported version number."
CVE-2025-10230; CVE-2025-9640,gasdbeqa04.c.prj-be-dev-66600.internal,Medium,4.3,"The remote Ubuntu 22.04 LTS / 24.04 LTS / 25.04 / 25.10 host has packages installed that are affected by multiple vulnerabilities as referenced in the USN-7826-1 advisory.

    Andrew Walker discovered that Samba incorrectly initialized memory in the vfs_streams_xattr module. An     authenticated attacker could possibly use this issue to obtain sensitive information. (CVE-2025-9640)

    Igor Morgenstern discovered that Samba incorrectly handled names passed to the WINS hook program. An     attacker could possibly use this issue to execute arbitrary code. (CVE-2025-10230)

Tenable has extracted the preceding description block directly from the Ubuntu security advisory.

Note that Nessus has not tested for these issues but has instead relied only on the application's self-reported version number."
CVE-2024-39894; CVE-2024-6387,10.106.156.81,High,8.1,"The version of OpenSSH installed on the remote host is prior to 9.8. It is; therefore; affected by a vulnerability as referenced in the release-9.8 advisory.

  - This release contains fixes for two security problems; one critical and one minor. 1) Race condition in     sshd(8) A critical vulnerability in sshd(8) was present in Portable OpenSSH versions between 8.5p1 and     9.7p1 (inclusive) that may allow arbitrary code execution with root privileges. Successful exploitation     has been demonstrated on 32-bit Linux/glibc systems with ASLR. Under lab conditions; the attack requires     on average 6-8 hours of continuous connections up to the maximum the server will accept. Exploitation on     64-bit systems is believed to be possible but has not been demonstrated at this time. It's likely that     these attacks will be improved upon. Exploitation on non-glibc systems is conceivable but has not been     examined. Systems that lack ASLR or users of downstream Linux distributions that have modified OpenSSH to     disable per-connection ASLR re-randomisation (yes - this is a thing; no - we don't understand why) may     potentially have an easier path to exploitation. OpenBSD is not vulnerable. We thank the Qualys Security     Advisory Team for discovering; reporting and demonstrating exploitability of this problem; and for     providing detailed feedback on additional mitigation measures. 2) Logic error in ssh(1)     ObscureKeystrokeTiming In OpenSSH version 9.5 through 9.7 (inclusive); when connected to an OpenSSH server     version 9.5 or later; a logic error in the ssh(1) ObscureKeystrokeTiming feature (on by default) rendered     this feature ineffective - a passive observer could still detect which network packets contained real     keystrokes when the countermeasure was active because both fake and real keystroke packets were being sent     unconditionally. This bug was Daniel Hugenroth and Alastair Beresford of the University of Cambridge     Computer Lab. Worse; the unconditional sending of both fake and real keystroke packets broke another long-     standing timing attack mitigation. Since OpenSSH 2.9.9 sshd(8) has sent fake keystoke echo packets for     traffic received on TTYs in echo-off mode; such as when entering a password into su(8) or sudo(8). This     bug rendered these fake keystroke echoes ineffective and could allow a passive observer of a SSH session     to once again detect when echo was off and obtain fairly limited timing information about keystrokes in     this situation (20ms granularity by default). This additional implication of the bug was identified by     Jacky Wei En Kung; Daniel Hugenroth and Alastair Beresford and we thank them for their detailed analysis.
    This bug does not affect connections when ObscureKeystrokeTiming was disabled or sessions where no TTY was     requested. (openssh-9.8-1)

Note that Nessus has not tested for this issue but has instead relied only on the application's self-reported version number."
CVE-2025-6965,na1devspetj901,Critical,9.8,"The remote Redhat Enterprise Linux 8 host has packages installed that are affected by a vulnerability as referenced in the RHSA-2025:12010 advisory.

    SQLite is a C library that implements an SQL database engine. A large subset of SQL92 is supported. A     complete database is stored in a single disk file. The API is designed for convenience and ease of use.
    Applications that link against SQLite can enjoy the power and flexibility of an SQL database without the     administrative hassles of supporting a separate database server.

    Security Fix(es):

    * sqlite: Integer Truncation in SQLite (CVE-2025-6965)

    For more details about the security issue(s); including the impact; a CVSS score; acknowledgments; and     other related information; refer to the CVE page(s) listed in the References section.

Tenable has extracted the preceding description block directly from the Red Hat Enterprise Linux security advisory.

Note that Nessus has not tested for this issue but has instead relied only on the application's self-reported version number."
CVE-2025-55315,na1dspteibld64,Critical,9.9,"The version of ASP.NET Core installed on the remote Windows host is 8.0.x prior to 8.0.21; 9.0.x prior to 9.0.10; or 10.0.0-rc.1.25451.107. It is; therefore; affected by a security feature bypass vulnerability.
Inconsistent interpretation of http requests ('http request/response smuggling') in ASP.NET Core allows an authorized attacker to bypass a security feature over a network.

Note that Nessus has not tested for these issues but has instead relied only on the application's self-reported version number."
CVE-2025-55315,n13ddc1,Critical,9.9,"The version of ASP.NET Core installed on the remote Windows host is 8.0.x prior to 8.0.21; 9.0.x prior to 9.0.10; or 10.0.0-rc.1.25451.107. It is; therefore; affected by a security feature bypass vulnerability.
Inconsistent interpretation of http requests ('http request/response smuggling') in ASP.NET Core allows an authorized attacker to bypass a security feature over a network.

Note that Nessus has not tested for these issues but has instead relied only on the application's self-reported version number."
CVE-2025-32462,na2prdjump06.tibco.com,Low,2.8,"The remote Redhat Enterprise Linux 7 host has packages installed that are affected by a vulnerability as referenced in the RHSA-2025:10871 advisory.

    The sudo packages contain the sudo utility which allows system administrators to provide certain users     with the permission to execute privileged commands; which are used for system management purposes; without     having to log in as root.

    Security Fix(es):

    * sudo: LPE via host option (CVE-2025-32462)

    For more details about the security issue(s); including the impact; a CVSS score; acknowledgments; and     other related information; refer to the CVE page(s) listed in the References section.

Tenable has extracted the preceding description block directly from the Red Hat Enterprise Linux security advisory.

Note that Nessus has not tested for this issue but has instead relied only on the application's self-reported version number."
CVE-2025-55315,mia2-ews-wps183,Critical,9.9,"The version of ASP.NET Core installed on the remote Windows host is 8.0.x prior to 8.0.21; 9.0.x prior to 9.0.10; or 10.0.0-rc.1.25451.107. It is; therefore; affected by a security feature bypass vulnerability.
Inconsistent interpretation of http requests ('http request/response smuggling') in ASP.NET Core allows an authorized attacker to bypass a security feature over a network.

Note that Nessus has not tested for these issues but has instead relied only on the application's self-reported version number."
CVE-2025-55315,ocvmd-es-1,Critical,9.9,"The version of ASP.NET Core installed on the remote Windows host is 8.0.x prior to 8.0.21; 9.0.x prior to 9.0.10; or 10.0.0-rc.1.25451.107. It is; therefore; affected by a security feature bypass vulnerability.
Inconsistent interpretation of http requests ('http request/response smuggling') in ASP.NET Core allows an authorized attacker to bypass a security feature over a network.

Note that Nessus has not tested for these issues but has instead relied only on the application's self-reported version number."
CVE-2025-55315,na1dspteibld62,Critical,9.9,"The version of ASP.NET Core installed on the remote Windows host is 8.0.x prior to 8.0.21; 9.0.x prior to 9.0.10; or 10.0.0-rc.1.25451.107. It is; therefore; affected by a security feature bypass vulnerability.
Inconsistent interpretation of http requests ('http request/response smuggling') in ASP.NET Core allows an authorized attacker to bypass a security feature over a network.

Note that Nessus has not tested for these issues but has instead relied only on the application's self-reported version number."
CVE-2024-39894; CVE-2024-6387,10.106.80.100,High,8.1,"The version of OpenSSH installed on the remote host is prior to 9.8. It is; therefore; affected by a vulnerability as referenced in the release-9.8 advisory.

  - This release contains fixes for two security problems; one critical and one minor. 1) Race condition in     sshd(8) A critical vulnerability in sshd(8) was present in Portable OpenSSH versions between 8.5p1 and     9.7p1 (inclusive) that may allow arbitrary code execution with root privileges. Successful exploitation     has been demonstrated on 32-bit Linux/glibc systems with ASLR. Under lab conditions; the attack requires     on average 6-8 hours of continuous connections up to the maximum the server will accept. Exploitation on     64-bit systems is believed to be possible but has not been demonstrated at this time. It's likely that     these attacks will be improved upon. Exploitation on non-glibc systems is conceivable but has not been     examined. Systems that lack ASLR or users of downstream Linux distributions that have modified OpenSSH to     disable per-connection ASLR re-randomisation (yes - this is a thing; no - we don't understand why) may     potentially have an easier path to exploitation. OpenBSD is not vulnerable. We thank the Qualys Security     Advisory Team for discovering; reporting and demonstrating exploitability of this problem; and for     providing detailed feedback on additional mitigation measures. 2) Logic error in ssh(1)     ObscureKeystrokeTiming In OpenSSH version 9.5 through 9.7 (inclusive); when connected to an OpenSSH server     version 9.5 or later; a logic error in the ssh(1) ObscureKeystrokeTiming feature (on by default) rendered     this feature ineffective - a passive observer could still detect which network packets contained real     keystrokes when the countermeasure was active because both fake and real keystroke packets were being sent     unconditionally. This bug was Daniel Hugenroth and Alastair Beresford of the University of Cambridge     Computer Lab. Worse; the unconditional sending of both fake and real keystroke packets broke another long-     standing timing attack mitigation. Since OpenSSH 2.9.9 sshd(8) has sent fake keystoke echo packets for     traffic received on TTYs in echo-off mode; such as when entering a password into su(8) or sudo(8). This     bug rendered these fake keystroke echoes ineffective and could allow a passive observer of a SSH session     to once again detect when echo was off and obtain fairly limited timing information about keystrokes in     this situation (20ms granularity by default). This additional implication of the bug was identified by     Jacky Wei En Kung; Daniel Hugenroth and Alastair Beresford and we thank them for their detailed analysis.
    This bug does not affect connections when ObscureKeystrokeTiming was disabled or sessions where no TTY was     requested. (openssh-9.8-1)

Note that Nessus has not tested for this issue but has instead relied only on the application's self-reported version number."
CVE-2025-32462,na1devfocl10,Low,2.8,"The remote Redhat Enterprise Linux 8 host has a package installed that is affected by a vulnerability as referenced in the RHSA-2025:10110 advisory.

    The sudo packages contain the sudo utility which allows system administrators to provide certain users     with the permission to execute privileged commands; which are used for system management purposes; without     having to log in as root.

    Security Fix(es):

    * sudo: LPE via host option (CVE-2025-32462)

    For more details about the security issue(s); including the impact; a CVSS score; acknowledgments; and     other related information; refer to the CVE page(s) listed in the References section.

Tenable has extracted the preceding description block directly from the Red Hat Enterprise Linux security advisory.

Note that Nessus has not tested for this issue but has instead relied only on the application's self-reported version number."
CVE-2025-27613; CVE-2025-27614; CVE-2025-46835; CVE-2025-48384; CVE-2025-48385; CVE-2025-48386,lcy2-k3s-worker-2,High,8.6,"The remote Ubuntu 16.04 LTS / 18.04 LTS / 20.04 LTS / 22.04 LTS / 24.04 LTS / 24.10 / 25.04 host has packages installed that are affected by multiple vulnerabilities as referenced in the USN-7626-1 advisory.

    Avi Halachmi discovered that Git incorrectly managed file modification constraints with Gitk. An attacker     could possibly use this issue to create or write to arbitrary files on the system. (CVE-2025-27613)

    Avi Halachmi discovered that Git incorrectly handled arguments when invoking the Gitk utility. If a user     were tricked into cloning a malicious Git repository; an attacker could possibly use this issue to run     arbitrary commands. This issue only affected Ubuntu 24.04 LTS; Ubuntu 24.10; and Ubuntu 25.04.
    (CVE-2025-27614)

    Johannes Sixt discovered that Git incorrectly managed file modification constraints with Git GUI. If a     user were tricked into editing a file in a malicious Git repository; an attacker could possibly use this     issue to create or write to arbitrary files on the system. (CVE-2025-46835)

    David Leadbeater discovered that Git incorrectly stripped CRLF characters when editing configuration     files. An attacker could possibly use this issue to execute arbitrary code. (CVE-2025-48384)

    David Leadbeater discovered that Git incorrectly handled verification when fetching remote Git     repositories. An attacker could possibly use this issue to perform protocol injection; leading to     arbitrary code execution. This issue only affected Ubuntu 24.04 LTS; Ubuntu 24.10; and Ubuntu 25.04.
    (CVE-2025-48385)

    David Leadbeater discovered that Git incorrectly handled memory with the wincred credential helper. An     attacker could possibly use this issue to cause a denial of service. (CVE-2025-48386)

Tenable has extracted the preceding description block directly from the Ubuntu security advisory.

Note that Nessus has not tested for these issues but has instead relied only on the application's self-reported version number."
